ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
0.5938,0.0156,0.8594,24.4141,-3.9062,-6.8359,1.0447,25.6522
0.6562,0.0156,1.0469,16.6016,0.0,-4.8828,1.2357,17.3047
0.6406,0.125,1.0,18.5547,0.0,-2.9297,1.1942,18.7846
0.5938,-0.0312,0.9844,16.6016,2.9297,-2.9297,1.15,17.1108
0.6562,0.2344,1.0781,14.6484,4.8828,-2.9297,1.2837,15.7163
0.5625,0.2031,0.9688,10.7422,6.8359,-1.9531,1.1385,12.8817
0.5625,0.1875,1.0469,7.8125,8.7891,0.0,1.2031,11.7594
0.5625,0.1562,1.0,5.8594,9.7656,0.0,1.1579,11.3886
0.5625,0.1562,1.0781,4.8828,12.6953,0.0,1.226,13.6019
0.5,0.1875,1.0938,4.8828,12.6953,0.0,1.2171,13.6019
0.4844,0.1406,1.0625,6.8359,7.8125,0.0,1.1761,10.381
0.4219,0.1094,1.0781,8.7891,4.8828,0.0,1.1629,10.0543
0.4062,0.0938,1.0469,17.5781,0.9766,-0.9766,1.1268,17.6323
0.4062,0.2812,0.9531,28.3203,0.0,-2.9297,1.0736,28.4714
0.4219,0.3125,0.9688,37.1094,4.8828,-7.8125,1.1019,38.2359
0.3906,0.4219,0.6875,35.1562,10.7422,-12.6953,0.8962,38.8912
0.0938,0.125,1.2812,31.25,20.5078,-15.625,1.2907,40.5126
0.5156,0.0625,0.9844,57.6172,3.9062,-10.7422,1.113,58.7401
0.2812,0.75,0.7969,49.8047,13.6719,-11.7188,1.1299,52.9599
0.3594,0.7344,1.1094,47.8516,9.7656,-13.6719,1.3781,50.7155
0.3438,0.7031,0.9375,55.6641,11.7188,-15.625,1.2213,58.9912
0.2656,0.875,1.0156,58.5938,7.8125,-16.6016,1.3666,61.3993
0.3125,1.0156,1.1875,72.2656,1.9531,-12.6953,1.5935,73.3983
0.2812,0.9062,0.9219,91.7969,0.0,-18.5547,1.323,93.6533
0.1875,0.9062,0.6094,115.2344,-1.9531,-21.4844,1.1081,117.2363
0.0625,1.0469,0.4062,121.0938,-4.8828,-36.1328,1.1247,126.4639
0.1094,1.1875,0.3281,124.0234,12.6953,-41.0156,1.2368,131.2451
0.125,1.4062,0.1562,112.3047,3.9062,-29.2969,1.4204,116.1288
0.6719,1.5312,-1.3281,111.3281,-34.1797,-39.0625,2.1354,122.8336
0.1719,1.4219,-0.2812,93.75,-23.4375,-29.2969,1.4596,100.9786
0.0,0.9531,-0.1562,67.3828,-15.625,-26.3672,0.9658,74.0258
-0.1562,0.1875,-0.625,51.7578,-16.6016,-30.2734,0.671,62.2171
-0.2969,0.1875,-0.5156,49.8047,-20.5078,-36.1328,0.6238,64.8587
-0.1875,0.5781,-0.4219,58.5938,-20.5078,-32.2266,0.7398,69.9453
0.125,0.3594,-0.2969,54.6875,-17.5781,-31.25,0.4826,65.3932
0.0312,0.0312,-0.2188,55.6641,-21.4844,-32.2266,0.2232,67.8131
-0.2812,-0.2344,-0.2344,49.8047,-24.4141,-34.1797,0.4347,65.1522
-0.3906,-0.3125,-0.1562,45.8984,-16.6016,-33.2031,0.5241,59.0316
-0.2344,-0.4844,-0.3594,46.875,-15.625,-35.1562,0.6471,60.6413
-0.5469,-0.8125,-0.6719,44.9219,-1.9531,-39.0625,1.1877,59.5623
-0.4844,-0.9375,-0.2031,52.7344,3.9062,-40.0391,1.0746,66.3272
-0.4375,-0.9062,-0.2031,42.9688,2.9297,-38.0859,1.0266,57.4929
-0.4844,-0.9844,-0.375,40.0391,16.6016,-39.0625,1.1594,58.3491
-0.1562,-0.9531,-0.5156,41.0156,8.7891,-35.1562,1.0949,54.7311
0.0312,-0.2812,-0.7031,41.0156,0.9766,-36.1328,0.7579,54.6701
0.0781,-0.0469,-0.2812,28.3203,19.5312,-31.25,0.2956,46.4766
0.2031,-0.3594,0.2031,59.5703,-4.8828,-33.2031,0.4601,68.3733
0.1719,-0.6875,0.2188,83.0078,6.8359,-37.1094,0.7417,91.1819
0.2031,-1.0781,0.2344,72.2656,6.8359,-36.1328,1.1218,81.0841
-0.0469,-1.5781,0.1875,46.875,-18.5547,-34.1797,1.5899,60.9081
0.0,-1.4375,0.0312,27.3438,-24.4141,-27.3438,1.4378,45.7319
0.3594,-0.9844,-0.2031,31.25,-23.4375,-28.3203,1.0674,48.2485
0.3281,-0.7656,0.0625,46.875,-6.8359,-23.4375,0.8353,52.8518
0.6562,-1.1875,0.5469,55.6641,-3.9062,-25.3906,1.4628,61.306
0.7188,-1.1562,0.7969,63.4766,-4.8828,-30.2734,1.5775,70.4954
0.6562,-0.7969,0.7812,51.7578,2.9297,-26.3672,1.2946,58.1608
0.5469,-0.8281,0.625,31.25,6.8359,-13.6719,1.1728,34.7881
0.4531,-0.8125,0.7031,26.3672,5.8594,-8.7891,1.1661,28.4044
0.375,-0.7656,0.7188,18.5547,4.8828,-5.8594,1.1151,20.0612
0.4062,-0.7188,0.6406,12.6953,1.9531,-4.8828,1.045,13.7415
0.4219,-0.7031,0.75,13.6719,0.9766,-3.9062,1.1112,14.2525
0.4531,-0.7031,0.8281,8.7891,1.9531,-2.9297,1.1771,9.4681
0.4219,-0.7344,0.8281,0.9766,2.9297,0.0,1.1845,3.0882
0.375,-0.7344,0.7656,-2.9297,1.9531,0.9766,1.1252,3.654
0.375,-0.7188,0.75,-5.8594,1.9531,2.9297,1.1044,6.8359
0.375,-0.7188,0.7188,-9.7656,2.9297,4.8828,1.0834,11.3045
0.3594,-0.7188,0.6875,-14.6484,2.9297,6.8359,1.0575,16.4283
0.3438,-0.6875,0.6562,-20.5078,3.9062,8.7891,1.0107,22.6512
0.3281,-0.75,0.6406,-26.3672,4.8828,12.6953,1.0395,29.6689
0.3125,-0.8281,0.5625,-34.1797,4.8828,14.6484,1.0487,37.5056
0.2812,-0.875,0.5,-41.0156,4.8828,17.5781,1.0463,44.89
0.2812,-0.9688,0.4219,-45.8984,0.0,18.5547,1.0934,49.507
0.1562,-0.9531,0.3438,-49.8047,-6.8359,20.5078,1.0252,54.2937
0.0938,-1.1406,0.2188,-47.8516,-5.8594,17.5781,1.1652,51.3137
0.1094,-1.1719,0.0938,-36.1328,-10.7422,13.6719,1.1807,40.0986
0.0781,-1.0625,0.0469,-22.4609,-10.7422,9.7656,1.0664,26.7443
0.1406,-1.0156,-0.0312,-16.6016,-5.8594,8.7891,1.0258,19.6772
0.0625,-1.0469,-0.0469,-18.5547,-1.9531,8.7891,1.0498,20.6237
0.0469,-1.0938,-0.0312,-17.5781,-0.9766,7.8125,1.0952,19.2608
0.0781,-1.0781,-0.0469,-19.5312,0.0,7.8125,1.082,21.0358
0.0,-1.1562,-0.0625,-20.5078,0.0,7.8125,1.1579,21.9455
0.0,-1.1719,-0.0625,-27.3438,1.9531,8.7891,1.1735,28.7879
0.0,-1.0156,-0.0156,-24.4141,-3.9062,10.7422,1.0157,26.9574
-0.0625,-0.9375,-0.125,-30.2734,-6.8359,14.6484,0.9479,34.3189
0.0,-0.75,-0.0938,-28.3203,-10.7422,16.6016,0.7558,34.5405
0.0625,-0.75,-0.0312,-25.3906,-12.6953,18.5547,0.7532,33.9136
0.0469,-0.8438,-0.125,-22.4609,-10.7422,17.5781,0.8542,30.4775
0.0,-0.9375,-0.2812,-17.5781,-11.7188,17.5781,0.9788,27.4829
-0.125,-1.0156,-0.3906,-17.5781,-9.7656,17.5781,1.0953,26.7086
-0.1406,-0.9375,-0.3906,-20.5078,-3.9062,18.5547,1.0253,27.9304
-0.1719,-0.9375,-0.3125,-20.5078,1.9531,18.5547,1.003,27.7247
-0.2812,-1.0625,-0.3594,-15.625,8.7891,15.625,1.1564,23.7809
