ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.7188,0.2969,1.0312,33.2031,2.9297,14.6484,1.2916,36.4089
-0.6562,0.375,0.9219,36.1328,0.0,16.6016,1.1921,39.7642
-0.6094,0.4375,1.0156,46.875,-3.9062,22.4609,1.2626,52.125
-0.7031,0.3438,1.1719,69.3359,-8.7891,29.2969,1.4092,75.7828
-0.5156,0.5156,0.625,86.9141,-7.8125,34.1797,0.9604,93.7195
-0.5,0.5625,0.4219,94.7266,-6.8359,39.0625,0.8628,102.6924
-0.375,0.7812,0.3594,102.5391,-12.6953,43.9453,0.9382,112.2792
-0.3281,1.375,0.3281,85.9375,4.8828,45.8984,1.4512,97.5488
-0.3594,1.5781,0.4375,39.0625,33.2031,39.0625,1.6766,64.4531
-0.125,1.25,-0.0938,11.7188,41.9922,35.1562,1.2597,56.0057
-0.0156,1.25,-0.3281,42.9688,4.8828,40.0391,1.2924,58.9346
0.0781,0.75,0.1094,45.8984,-7.8125,39.0625,0.7619,60.7748
-0.3594,0.875,0.25,42.9688,-2.9297,32.2266,0.9784,53.7908
-0.2812,1.0625,0.1875,47.8516,-2.9297,37.1094,1.115,60.6256
-0.3281,1.1094,0.0781,47.8516,-2.9297,40.0391,1.1595,62.4618
-0.2344,0.9375,0.0,41.0156,-2.9297,39.0625,0.9664,56.7163
-0.0938,0.7656,0.0,32.2266,-0.9766,35.1562,0.7713,47.7019
0.0312,0.75,-0.0312,34.1797,0.0,35.1562,0.7513,49.0328
0.2656,0.9531,-0.2188,36.1328,0.9766,37.1094,1.0133,51.8039
0.4844,1.0156,-0.3594,39.0625,-4.8828,41.9922,1.1812,57.5592
0.5156,1.0469,-0.2812,46.875,-18.5547,41.9922,1.2004,65.6116
0.3906,1.0312,-0.2344,73.2422,-25.3906,47.8516,1.1274,91.0982
0.2188,0.75,-0.1875,92.7734,-27.3438,53.7109,0.8034,110.6321
0.0938,0.4688,-0.1406,104.4922,-34.1797,47.8516,0.4983,119.9026
0.0156,0.2656,-0.2812,109.375,-40.0391,36.1328,0.3872,121.9492
-0.0938,0.1094,-0.0469,112.3047,-35.1562,24.4141,0.1515,120.1847
-0.1406,-0.1406,0.1562,107.4219,-30.2734,16.6016,0.2529,112.8342
-0.0938,-0.5781,0.1094,83.0078,-23.4375,13.6719,0.5958,87.33
-0.1562,-0.9219,0.125,36.1328,-17.5781,11.7188,0.9433,41.8557
-0.1562,-1.0625,0.6562,18.5547,52.7344,23.4375,1.2586,60.6177
-0.5156,-1.9375,0.9688,111.3281,32.2266,43.9453,2.2267,123.9504
-0.9219,-2.0,0.7812,-124.0234,-0.9766,-2.9297,2.3367,124.0619
0.6875,-1.4219,-0.4062,-124.0234,-49.8047,-12.6953,1.6308,134.2516
-0.0938,-1.1719,-0.6875,32.2266,74.2188,53.7109,1.3619,97.1177
-0.0469,-0.9375,1.5781,-124.0234,1.9531,15.625,1.8362,125.0191
0.0625,-1.0781,1.1875,52.7344,3.9062,5.8594,1.6051,53.2025
-0.0781,-1.0938,0.6094,21.4844,10.7422,9.7656,1.2545,25.9295
-0.1094,-1.1094,1.0312,42.9688,5.8594,12.6953,1.5186,45.1865
-0.1562,-0.9375,1.1094,38.0859,11.7188,12.6953,1.4608,41.8215
-0.1719,-1.0469,1.0,28.3203,10.7422,11.7188,1.4579,32.4771
-0.1875,-0.8594,0.8594,21.4844,5.8594,8.7891,1.2297,23.9407
-0.1562,-0.8281,0.8281,17.5781,3.9062,6.8359,1.1815,19.2608
-0.125,-0.7188,0.6719,18.5547,6.8359,8.7891,0.9918,21.6392
-0.0469,-0.5781,0.625,21.4844,10.7422,12.6953,0.8527,27.1688
-0.0781,-0.4688,0.6406,20.5078,12.6953,13.6719,0.7976,27.7247
-0.0625,-0.4531,0.6094,17.5781,10.7422,12.6953,0.7619,24.1983
-0.0938,-0.4688,0.625,20.5078,10.7422,13.6719,0.7869,26.8865
-0.1719,-0.5,0.7188,22.4609,9.7656,13.6719,0.8923,28.0496
-0.2812,-0.5469,0.8281,22.4609,9.7656,11.7188,1.0315,27.1512
-0.375,-0.5,1.1094,24.4141,7.8125,10.7422,1.2733,27.7935
-0.4375,-0.4219,1.1406,18.5547,5.8594,8.7891,1.2924,21.3508
-0.4375,-0.4219,1.1094,15.625,4.8828,7.8125,1.2649,18.1388
-0.5,-0.3906,1.1094,12.6953,3.9062,5.8594,1.278,14.5176
-0.4062,-0.3281,1.0,9.7656,1.9531,3.9062,1.1281,10.6977
-0.4688,-0.375,1.0156,8.7891,1.9531,2.9297,1.1798,9.4681
-0.4531,-0.2969,1.0,7.8125,0.0,0.9766,1.1373,7.8733
-0.4219,-0.3125,0.9375,3.9062,0.0,0.9766,1.0745,4.0265
-0.3594,-0.2188,0.8281,3.9062,-0.9766,1.9531,0.9289,4.4752
-0.3125,-0.2031,0.7188,0.9766,0.0,0.9766,0.8096,1.3811
-0.2969,-0.2656,0.6875,0.0,-0.9766,0.9766,0.7946,1.3811
-0.3125,-0.2812,0.75,0.0,-0.9766,0.9766,0.8598,1.3811
-0.3281,-0.2188,0.8281,-0.9766,-0.9766,0.0,0.9172,1.3811
-0.3438,-0.2656,0.8125,-1.9531,0.0,0.0,0.9213,1.9531
-0.3594,-0.25,0.8906,-0.9766,0.0,0.0,0.9924,0.9766
-0.375,-0.2656,0.9062,-1.9531,0.0,0.0,1.0161,1.9531
-0.375,-0.2969,0.9219,-3.9062,0.0,0.0,1.0386,3.9062
-0.3594,-0.2812,0.9531,-5.8594,0.0,-0.9766,1.0567,5.9402
-0.375,-0.2969,0.9062,-7.8125,0.0,-1.9531,1.0247,8.0529
-0.3594,-0.3125,0.875,-9.7656,-0.9766,-2.9297,0.9962,10.2423
-0.3281,-0.3281,0.9062,-13.6719,-1.9531,-3.9062,1.0181,14.3525
-0.3281,-0.375,0.9375,-15.625,-1.9531,-4.8828,1.0617,16.4863
-0.3594,-0.4531,0.9219,-17.5781,-0.9766,-5.8594,1.0883,18.5547
-0.3438,-0.4531,0.9531,-16.6016,-0.9766,-6.8359,1.1099,17.9804
-0.3281,-0.4688,0.9062,-18.5547,-1.9531,-6.8359,1.0718,19.8701
-0.3125,-0.5469,0.8594,-18.5547,-2.9297,-7.8125,1.0655,20.3444
-0.3281,-0.5469,0.875,-17.5781,-3.9062,-8.7891,1.0828,20.0374
-0.2969,-0.6094,0.9219,-19.5312,-4.8828,-10.7422,1.1443,22.819
-0.2812,-0.6406,0.9219,-21.4844,-5.8594,-11.7188,1.1573,25.1643
-0.2656,-0.6719,0.8906,-23.4375,-6.8359,-13.6719,1.1468,27.9815
-0.25,-0.6562,0.8281,-26.3672,-6.8359,-14.6484,1.0858,30.9279
-0.2812,-0.7188,0.7188,-32.2266,-6.8359,-16.6016,1.0547,36.8903
-0.2812,-0.7969,0.7344,-33.2031,-8.7891,-21.4844,1.1196,40.5126
-0.2656,-0.9062,0.8438,-38.0859,-13.6719,-25.3906,1.2664,47.7718
-0.0938,-1.0938,0.8438,-49.8047,-19.5312,-27.3438,1.3846,60.0804
-0.0625,-1.1406,0.6719,-59.5703,-20.5078,-27.3438,1.3253,68.6795
0.1562,-1.0781,0.5625,-51.7578,-9.7656,-27.3438,1.226,59.3458
0.0625,-0.9688,0.5625,-51.7578,-3.9062,-18.5547,1.122,55.1217
0.2344,-0.9531,0.5781,-91.7969,0.9766,-3.9062,1.1391,91.8851
0.3438,-1.0,0.7656,-124.0234,-32.2266,-3.9062,1.3055,128.2015
0.1719,-1.4062,0.3125,-118.1641,-30.2734,-34.1797,1.4508,126.6786
-0.1562,-1.2969,0.1094,-67.3828,17.5781,-24.4141,1.3108,73.7935
-0.6562,-1.1094,-0.2188,-44.9219,26.3672,-25.3906,1.3074,57.9473
0.0469,-0.4844,-1.1094,-62.5,48.8281,-20.5078,1.2114,81.9207
0.3281,-0.7656,-0.5938,-68.3594,4.8828,-27.3438,1.0229,73.787
0.3125,-0.875,-0.375,-47.8516,-7.8125,-30.2734,1.002,57.1602
0.2812,-0.9531,-0.2656,-44.9219,-2.9297,-35.1562,1.0286,57.1185
0.0938,-0.9531,-0.0156,-52.7344,0.0,-39.0625,0.9579,65.6262
0.0781,-0.7969,0.0312,-54.6875,13.6719,-45.8984,0.8013,72.6933
0.2812,-0.2656,-0.625,-41.9922,10.7422,-45.8984,0.735,63.1301
-0.0156,-0.2812,-0.2812,-44.9219,-17.5781,-41.9922,0.3981,63.9555
-0.0781,0.0156,0.0,-64.4531,-2.9297,-38.0859,0.0797,74.9221
-0.0625,0.3906,-0.2812,-64.4531,11.7188,-37.1094,0.4854,75.2904
0.1875,0.9219,-0.7031,-67.3828,16.6016,-36.1328,1.1745,78.2409
0.5469,1.125,-0.5156,-78.125,7.8125,-33.2031,1.353,85.2467
0.6406,1.1875,-0.3906,-59.5703,-2.9297,-26.3672,1.4047,65.2107
0.3125,1.2656,-0.3594,-41.0156,-9.7656,-24.4141,1.3523,48.7206
0.0,1.2188,-0.1094,-32.2266,-5.8594,-19.5312,1.2236,38.136
0.5312,1.0781,-0.1562,-51.7578,0.0,-24.4141,1.212,57.2269
0.2344,0.4375,-0.2656,-65.4297,-8.7891,-24.4141,0.5629,70.3871
0.0156,0.3906,-0.0625,-67.3828,-16.6016,-25.3906,0.3959,73.8968
-0.1094,0.5312,0.125,-67.3828,-15.625,-25.3906,0.5566,73.6836
-0.0625,0.7188,0.25,-62.5,-17.5781,-20.5078,0.7635,68.0868
-0.0938,0.9688,0.5,-50.7812,-15.625,-20.5078,1.0942,56.9513
-0.4219,1.6562,1.0938,-84.9609,-5.8594,-43.9453,2.0291,95.8326
-0.1875,1.9844,1.1094,-108.3984,24.4141,-54.6875,2.2811,123.8426
0.0,0.5156,0.5312,-88.8672,52.7344,-50.7812,0.7403,115.1392
