ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-0.375,-1.125,0.4688,-35.1562,16.6016,2.9297
-0.3594,-1.1562,0.5156,-34.1797,37.1094,4.8828
0.0312,-1.1406,0.2812,-31.25,39.0625,3.9062
0.1094,-1.0312,0.0156,-27.3438,30.2734,3.9062
0.25,-0.875,0,-24.4141,31.25,0.9766
0.2969,-0.7969,0.0156,-16.6016,25.3906,-0.9766
0.1406,-0.75,0.0781,-10.7422,16.6016,-1.9531
-0.0469,-0.75,0.1094,-7.8125,8.7891,0
-0.0625,-0.7188,0.0625,-7.8125,8.7891,0.9766
-0.0312,-0.7031,-0.0312,-5.8594,9.7656,1.9531
0.0312,-0.7031,-0.0781,0,15.625,2.9297
0.1406,-0.7188,-0.1094,1.9531,19.5312,0.9766
0.2344,-0.75,-0.1562,6.8359,16.6016,0.9766
0.2344,-0.8281,-0.1875,10.7422,12.6953,0.9766
0.1875,-0.8906,-0.25,8.7891,12.6953,0
0.2969,-1,-0.3125,3.9062,12.6953,0
0.2969,-1.0312,-0.4688,2.9297,10.7422,0.9766
0.3125,-1.0938,-0.5938,2.9297,13.6719,0.9766
0.3438,-1.0781,-0.4844,4.8828,12.6953,0
0.1875,-1.0156,-0.3125,4.8828,10.7422,-2.9297
0.1719,-0.875,-0.0938,6.8359,5.8594,-1.9531
0.0469,-1.0938,-0.0156,11.7188,-2.9297,0.9766
0.0156,-1.3594,-0.0156,9.7656,-0.9766,4.8828
-0.1719,-1.2969,-0.1875,4.8828,5.8594,2.9297
-0.1719,-0.9219,-0.1562,2.9297,29.2969,-1.9531
0.3281,-0.8438,0.1094,0,10.7422,1.9531
0.3594,-0.8594,0.5,1.9531,2.9297,1.9531
0.2969,-0.8438,0.5469,0.9766,11.7188,0.9766
0.2969,-0.8906,0.4375,4.8828,13.6719,0
0.2969,-0.9375,0.2812,10.7422,12.6953,0
0.2812,-1,-0.1562,10.7422,14.6484,-1.9531
0.3438,-0.9375,-0.125,6.8359,17.5781,-4.8828
0.2031,-0.9375,-0.0156,6.8359,10.7422,-5.8594
0.1094,-0.9219,0.1562,3.9062,14.6484,-5.8594
0.1406,-0.875,0.2188,0.9766,18.5547,-4.8828
0.2188,-0.875,0.1562,1.9531,19.5312,-2.9297
0.3125,-0.9375,0.125,2.9297,18.5547,-0.9766
0.3438,-0.9531,0.1094,3.9062,12.6953,0
0.3281,-0.9062,0.0625,3.9062,12.6953,0
0.2812,-0.8906,0.0781,2.9297,12.6953,0
0.2812,-0.875,0.1562,2.9297,13.6719,0
0.25,-0.9062,0.2344,3.9062,14.6484,0
0.2344,-0.9844,0.1875,6.8359,14.6484,0
0.25,-1.0469,0.0938,9.7656,10.7422,0
0.3125,-1.0469,-0.0156,5.8594,13.6719,0
0.4219,-1.0781,0.125,-0.9766,11.7188,0.9766
0.3594,-1.0625,0.0938,-1.9531,9.7656,0
0.2031,-1.0781,0,-1.9531,12.6953,0
0.3438,-1.1562,0.0156,-5.8594,14.6484,1.9531
0.4219,-1.1406,-0.0312,-9.7656,10.7422,1.9531
0.3281,-1.0781,-0.125,-13.6719,4.8828,0.9766
0.1406,-1.125,-0.1094,-21.4844,0.9766,0
-0.0625,-1.1719,-0.1562,-31.25,-2.9297,0.9766
-0.0469,-1.0938,0,-46.875,0,2.9297
-0.1562,-1.2031,0.4531,-39.0625,3.9062,0.9766
-0.2812,-1.2344,0.6406,-33.2031,28.3203,0
-0.0781,-1.0938,0.2969,-27.3438,37.1094,0
