ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0.2188,-0.4062,0.125,9.7656,22.4609,0
0.2812,-0.7031,0.0938,3.9062,43.9453,-10.7422
-0.125,-1.375,-0.6406,8.7891,26.3672,-15.625
0.25,-2,-0.0156,7.8125,-52.7344,-13.6719
1.7188,-1.4688,0.6094,-0.9766,9.7656,15.625
0.0312,-0.7344,-0.5625,26.3672,-29.2969,-6.8359
0.375,-1.8281,-1.2188,36.1328,-0.9766,-4.8828
0.6875,-2,-0.7188,42.9688,6.8359,-5.8594
0.6875,-1.6875,-0.8125,47.8516,11.7188,-1.9531
1,-1.625,-0.7656,38.0859,11.7188,0.9766
0.8125,-1.125,-0.6094,28.3203,-2.9297,1.9531
0.0938,-0.5781,-0.75,16.6016,-4.8828,2.9297
-0.0312,-0.2188,-0.2969,0,-16.6016,10.7422
0.0625,0.2656,0.2812,-5.8594,-23.4375,13.6719
0.2344,0.1406,0,-8.7891,4.8828,0.9766
0.1094,0.1719,-0.2969,-9.7656,-3.9062,-6.8359
0.3438,-0.0781,0.2969,-24.4141,-20.5078,-6.8359
0.4375,-0.75,0.0625,-40.0391,-25.3906,-16.6016
0.9844,-1.8906,-0.2969,-48.8281,-79.1016,-30.2734
0.6406,-2,-0.0312,-45.8984,-85.9375,-45.8984
0.0938,-1.8125,-0.2656,-47.8516,-26.3672,-35.1562
0.3281,-1.1875,-0.7188,-38.0859,-31.25,-30.2734
0.4844,-1.6094,-0.5781,-33.2031,-15.625,-27.3438
0.5,-1.3906,-0.7969,-14.6484,-34.1797,-24.4141
0.4688,-1.0312,-0.8125,-1.9531,-49.8047,-20.5078
0.25,-0.3594,-0.5156,13.6719,-50.7812,-21.4844
-0.125,-0.125,-0.2656,27.3438,-43.9453,-13.6719
0,-0.125,-0.1094,27.3438,-37.1094,-3.9062
0.0312,-0.0625,0.0156,14.6484,-24.4141,1.9531
-0.0938,0,0.3125,7.8125,-5.8594,1.9531
-0.2969,-0.1875,0.2656,6.8359,-5.8594,-1.9531
-0.1875,-0.3281,0.2188,0,-16.6016,-0.9766
0.0781,-1.3125,-1.0625,-26.3672,-8.7891,-2.9297
0.3438,-1.7656,0.7656,1.9531,26.3672,-18.5547
-0.0781,-1.5938,-0.375,0,-56.6406,-3.9062
1.0312,-1.5938,0.3281,-3.9062,-20.5078,4.8828
0.2656,-1.25,-0.4531,28.3203,-6.8359,-4.8828
0.5781,-1.5938,-0.7344,22.4609,-23.4375,-5.8594
0.75,-1.5,-0.7188,26.3672,-8.7891,-11.7188
0.7344,-1.375,-0.9531,40.0391,-1.9531,-15.625
0.8438,-1.4688,-0.7969,41.0156,3.9062,-13.6719
0.625,-1.2031,-0.625,38.0859,-17.5781,-5.8594
0.3594,-0.7656,-0.5469,22.4609,-37.1094,-1.9531
-0.0469,-0.3281,-0.3906,12.6953,-41.9922,1.9531
0.0312,-0.0625,-0.0469,1.9531,-28.3203,8.7891
0.2031,0.1562,0.25,-7.8125,-6.8359,5.8594
0.3906,0.2344,0.1719,-10.7422,4.8828,-2.9297
0.4219,-0.0469,-0.0469,-5.8594,-8.7891,-14.6484
0.5156,-0.3281,0.1719,-11.7188,-45.8984,-15.625
0.5312,-0.9688,0.3906,-23.4375,-69.3359,-21.4844
0.7656,-1.9844,-0.0938,-37.1094,-80.0781,-30.2734
0.3906,-2,-0.125,-26.3672,-61.5234,-36.1328
0.4531,-1.4531,-0.1719,-14.6484,-10.7422,-56.6406
0.6094,-1.3906,-0.625,-20.5078,-24.4141,-45.8984
0.8281,-1.7969,-0.4688,-18.5547,-19.5312,-34.1797
0.9531,-1.4688,-0.6406,-9.7656,-34.1797,-29.2969
1,-1.1875,-0.7031,0.9766,-53.7109,-26.3672
0.6562,-0.875,-0.5156,9.7656,-54.6875,-23.4375
0.1875,-0.4531,-0.1406,18.5547,-57.6172,-15.625
-0.25,-0.0781,-0.0469,13.6719,-43.9453,-2.9297
-0.4375,0.0312,0.1406,10.7422,-11.7188,4.8828
-0.5938,0.1875,0.2344,11.7188,11.7188,3.9062
-0.5469,0.2344,0.3125,15.625,13.6719,7.8125
-0.1875,0.2656,0.25,11.7188,5.8594,8.7891
0.3906,-0.4531,-0.5781,-1.9531,-14.6484,8.7891
1.1562,-1.3438,0.1094,2.9297,2.9297,-6.8359
0.5156,-2,-0.5781,2.9297,-2.9297,-19.5312
0.1719,-1.8125,0,0,-55.6641,-5.8594
0.3906,-0.875,0.4062,2.9297,-58.5938,6.8359
0.1094,-1.125,-0.6719,16.6016,-42.9688,0
0.0312,-1.4219,-0.1875,27.3438,-6.8359,-6.8359
0.3125,-1.5625,-0.7656,34.1797,9.7656,-8.7891
0.7188,-1.5,-0.7344,41.0156,27.3438,-7.8125
1.1406,-1.4688,-0.75,41.9922,9.7656,-0.9766
1.0938,-1.1094,-0.6719,33.2031,6.8359,-2.9297
0.2031,-0.8906,-0.5625,23.4375,0,-1.9531
0.0781,-0.4688,-0.5,15.625,-11.7188,0.9766
0.1562,-0.1094,0.0156,-1.9531,-1.9531,3.9062
0.0625,0.0781,0.125,-10.7422,15.625,0
0,0.0781,-0.3906,-13.6719,19.5312,-10.7422
0.2031,-0.0781,0,-20.5078,-5.8594,-15.625
0.375,-0.7812,0,-27.3438,-21.4844,-24.4141
0.6094,-1.375,-0.2344,-43.9453,-44.9219,-34.1797
0.5625,-2,-0.5156,-50.7812,-71.2891,-35.1562
-0.4688,-2,-0.1719,-47.8516,-23.4375,-22.4609
0.3125,-1.125,-0.7969,-38.0859,0.9766,-17.5781
0.9219,-1.3906,-0.6562,-37.1094,-15.625,-14.6484
1.1094,-1.375,-0.9219,-18.5547,-24.4141,-18.5547
0.5938,-0.875,-0.9375,-4.8828,-54.6875,-18.5547
0.1406,-0.4688,-0.7969,6.8359,-45.8984,-14.6484
-0.25,-0.2188,-0.4844,6.8359,-31.25,-8.7891
-0.4844,0.0469,-0.3125,9.7656,-3.9062,0
-0.4688,0.1562,0.0156,8.7891,36.1328,8.7891
-0.5312,0.3281,0.3438,7.8125,46.875,11.7188
-0.1562,0.1875,0.625,25.3906,45.8984,13.6719
0.0312,-0.3906,0.4531,26.3672,39.0625,15.625
0.1094,-0.9844,-0.2188,19.5312,24.4141,3.9062
0.5938,-2,-0.7031,-26.3672,23.4375,-15.625
0.0625,-2,-0.2656,-1.9531,72.2656,-22.4609
0.1719,-0.875,0.3594,3.9062,13.6719,19.5312
0.3125,-0.3125,0.6562,10.7422,-4.8828,19.5312
0.6719,-1.0938,-0.2656,10.7422,1.9531,22.4609
0.9844,-2,-1.7344,36.1328,9.7656,7.8125
0.3594,-1.3438,-0.1875,35.1562,43.9453,-2.9297
0.9062,-1.2656,-0.625,44.9219,40.0391,2.9297
1.25,-1.3594,-0.75,31.25,19.5312,5.8594
0.7188,-0.9531,-0.4844,20.5078,-2.9297,7.8125
0.0469,-0.5938,-0.3281,8.7891,-7.8125,8.7891
-0.1562,-0.1406,-0.2344,0.9766,-8.7891,12.6953
0.0625,-0.0156,-0.0469,-9.7656,-0.9766,8.7891
-0.1562,0.0781,0.5156,-7.8125,13.6719,-0.9766
0.1875,0.1406,-0.3438,-22.4609,16.6016,-9.7656
0.0781,-0.4688,-0.2812,-30.2734,0,-17.5781
0.1719,-1.0781,0.4375,-41.0156,-28.3203,-22.4609
0.2344,-2,-0.9219,-59.5703,-78.125,-24.4141
-0.5156,-2,-0.4531,-52.7344,-0.9766,-15.625
0.0469,-1.1719,-0.4844,-55.6641,30.2734,-12.6953
0.8438,-1.2344,-0.8594,-39.0625,23.4375,-4.8828
1.2812,-1.3594,-0.8594,-22.4609,3.9062,-0.9766
1.1406,-0.875,-0.7344,-11.7188,-32.2266,4.8828
0.0156,-0.1562,-0.5781,-4.8828,-50.7812,9.7656
-0.2969,0.0469,-0.4375,14.6484,-26.3672,11.7188
-0.4375,0.0781,-0.3281,25.3906,7.8125,13.6719
-0.3594,0.2031,0.0312,22.4609,29.2969,14.6484
-0.0781,0.1094,0.2031,28.3203,39.0625,11.7188
0.2344,-0.625,0.375,28.3203,51.7578,3.9062
0.0781,-1.2969,0.0781,8.7891,53.7109,-8.7891
0.9219,-2,-1.5625,-23.4375,9.7656,-31.25
0.4688,-1.2656,0.6406,28.3203,63.4766,-44.9219
-0.7031,-1.1875,-0.2031,-4.8828,31.25,-0.9766
-0.4062,-0.0938,0.5781,-13.6719,-8.7891,32.2266
0.4219,-1.4844,-0.5781,10.7422,-3.9062,37.1094
1.7188,-1.875,-0.125,13.6719,-24.4141,37.1094
0.7188,-1.5156,-0.0469,37.1094,17.5781,-0.9766
1.0781,-1.4375,-1.2188,51.7578,65.4297,-0.9766
0.8438,-1.0469,-0.5625,33.2031,32.2266,6.8359
0.5156,-1.125,-0.25,16.6016,-12.6953,15.625
0.2031,-0.7812,-0.4219,11.7188,-8.7891,15.625
0.2656,-0.2969,-0.1406,1.9531,-9.7656,16.6016
0.2031,0.0156,-0.0156,-6.8359,-5.8594,6.8359
-0.0469,0.0469,0.2812,-18.5547,13.6719,-3.9062
0.1562,-0.1406,-0.4688,-17.5781,19.5312,-11.7188
0,-0.1719,0.25,-28.3203,-20.5078,-15.625
0.0625,-0.7812,0,-46.875,-24.4141,-15.625
0.2656,-2,-0.8438,-60.5469,-75.1953,-15.625
0.0156,-2,-0.3594,-56.6406,-34.1797,-15.625
0,-1.2812,-0.3906,-56.6406,29.2969,-22.4609
0.3594,-0.8438,-0.5625,-46.875,28.3203,-11.7188
1.1719,-1.375,-0.4688,-23.4375,8.7891,-6.8359
0.9062,-0.9375,-0.8125,-9.7656,-18.5547,-3.9062
0.5312,-0.4844,-0.9844,-3.9062,-50.7812,8.7891
0.1094,-0.3125,-0.7344,1.9531,-34.1797,10.7422
-0.2812,-0.1406,-0.4531,13.6719,-4.8828,11.7188
-0.2188,-0.0625,-0.1406,15.625,12.6953,13.6719
-0.3281,0.1094,0.125,14.6484,19.5312,16.6016
-0.1719,0.1406,0.4219,14.6484,32.2266,14.6484
-0.0469,-0.4062,0.4219,20.5078,40.0391,11.7188
0.0781,-0.7344,-0.1094,9.7656,34.1797,0
0.2656,-1.4531,-0.4219,-7.8125,47.8516,-15.625
0.3594,-2,-0.8438,9.7656,54.6875,-27.3438
0.5312,-1.75,0.6719,6.8359,32.2266,0.9766
0.2656,-0.3594,0.5469,2.9297,27.3438,15.625
0.4688,-1.0156,-0.3594,2.9297,25.3906,26.3672
0.8438,-1.7188,-0.8125,17.5781,-10.7422,33.2031
0.75,-1.625,-0.125,33.2031,4.8828,16.6016
1.3438,-1.3438,-0.8125,56.6406,41.0156,6.8359
1.2344,-1.0469,-0.5781,38.0859,22.4609,8.7891
0.3438,-1.1562,-0.4062,13.6719,-3.9062,8.7891
-0.0469,-0.8281,-0.3906,4.8828,-6.8359,14.6484
0.0938,-0.0938,-0.1562,-7.8125,-11.7188,16.6016
0.1094,0.0469,0.3438,-18.5547,-7.8125,4.8828
-0.2188,0.25,0.0156,-13.6719,5.8594,0
0.25,0.1094,-0.2188,-32.2266,11.7188,-6.8359
0.0625,-0.4219,-0.1406,-39.0625,2.9297,-12.6953
0.2656,-0.9531,0.2344,-49.8047,-31.25,-15.625
0.375,-2,-1.0312,-52.7344,-63.4766,-24.4141
-0.0625,-2,-0.2344,-43.9453,-9.7656,-22.4609
0.5938,-0.9219,-0.4844,-41.9922,19.5312,-21.4844
0.8438,-0.9531,-0.625,-33.2031,4.8828,-6.8359
0.9219,-1.2812,-0.75,-16.6016,-7.8125,-5.8594
0.7188,-1.1875,-0.875,-3.9062,-38.0859,-1.9531
0.1094,-0.5156,-0.7031,-1.9531,-49.8047,3.9062
-0.3281,-0.0781,-0.4219,9.7656,-21.4844,4.8828
-0.4375,-0.0156,-0.25,18.5547,17.5781,7.8125
-0.3125,0.1406,-0.0469,17.5781,32.2266,10.7422
-0.0938,0.3281,0.1875,25.3906,36.1328,11.7188
0.2344,-0.0469,0.3438,30.2734,45.8984,7.8125
0.2188,-0.8438,0.1562,23.4375,43.9453,2.9297
0.3594,-0.8906,-0.2656,6.8359,18.5547,-4.8828
0.5156,-1.7344,0.2969,-5.8594,48.8281,-23.4375
-0.3281,-2,-0.7812,13.6719,60.5469,-23.4375
-0.5938,-1.2969,0.375,0,8.7891,11.7188
0.4219,-0.9688,0.75,0,11.7188,30.2734
1,-1.625,-0.3438,-1.9531,33.2031,24.4141
1,-1.8438,-0.4062,21.4844,36.1328,9.7656
0.7188,-1.3125,-0.2188,26.3672,60.5469,0.9766
0.6719,-1.25,-0.2031,24.4141,26.3672,12.6953
0.8281,-1.0781,-0.5312,12.6953,1.9531,17.5781
0.7188,-0.8906,-0.6094,10.7422,-4.8828,16.6016
0.375,-0.6875,-0.2656,0,0.9766,8.7891
0.0781,-0.375,-0.2031,-5.8594,4.8828,6.8359
0.1094,0,-0.0156,-15.625,1.9531,4.8828
0.2344,0,0.1406,-23.4375,11.7188,-1.9531
0.2031,0.0938,0.0312,-20.5078,32.2266,-10.7422
0.0625,0,-0.0156,-20.5078,22.4609,-16.6016
0.0156,-0.7969,-0.1719,-34.1797,-13.6719,-20.5078
0.1719,-1.3438,-0.4844,-54.6875,-59.5703,-24.4141
0.3594,-2,-0.75,-43.9453,-40.0391,-24.4141
0,-2,-0.3906,-46.875,6.8359,-6.8359
0.3594,-1.2969,-0.5625,-37.1094,26.3672,-11.7188
0.8594,-1.4531,-0.875,-30.2734,0,-6.8359
0.8438,-1.7656,-1.1875,-17.5781,-13.6719,-4.8828
0.7344,-1.1562,-0.9844,-15.625,-43.9453,2.9297
0.1719,-0.7188,-0.8281,-14.6484,-43.9453,10.7422
-0.2344,-0.4844,-0.5312,-6.8359,-24.4141,12.6953
-0.25,-0.2031,-0.3125,1.9531,0,11.7188
-0.25,-0.0469,-0.25,7.8125,29.2969,15.625
-0.1562,0.0781,0.2188,8.7891,26.3672,18.5547
-0.0156,0.0781,0.3594,9.7656,14.6484,18.5547
0.0156,0.1094,0.2969,11.7188,34.1797,17.5781
-0.2031,0.0938,0.3594,22.4609,64.4531,18.5547
-0.2188,-0.3906,0.3281,25.3906,65.4297,20.5078
-0.25,-1.2031,-0.1719,16.6016,47.8516,18.5547
0.3906,-2,-0.4062,1.9531,33.2031,12.6953
1.1406,-2,0.0156,0.9766,30.2734,9.7656
0.5625,-0.4219,-0.2031,0.9766,32.2266,5.8594
0.4219,-1.0625,-0.7344,7.8125,20.5078,6.8359
0.4844,-1.625,-0.7188,26.3672,30.2734,0
0.6406,-1.5781,-0.5781,30.2734,31.25,7.8125
1.25,-1.5938,-0.7969,41.0156,23.4375,7.8125
1.3438,-1.1719,-0.7188,35.1562,21.4844,3.9062
0.6406,-0.9062,-0.5781,30.2734,2.9297,0
0.0938,-0.8438,-0.4844,12.6953,12.6953,-3.9062
-0.3906,-0.5312,-0.3906,3.9062,1.9531,1.9531
-0.0312,0,-0.2031,-9.7656,-12.6953,7.8125
0.0312,0.1094,-0.0312,-22.4609,10.7422,0
-0.0938,-0.0625,0.0469,-33.2031,23.4375,-4.8828
0.0625,-0.2969,-0.0312,-41.0156,2.9297,-6.8359
0.0469,-1.0625,-0.0781,-48.8281,-23.4375,-10.7422
0.2344,-1.8906,-0.9688,-65.4297,-21.4844,-17.5781
-0.2344,-2,-0.375,-60.5469,-8.7891,-19.5312
0.3594,-1.5938,-0.0469,-58.5938,15.625,-13.6719
1.1875,-1.0625,-1.0469,-39.0625,23.4375,0
1.3125,-1.8281,-1.1094,-29.2969,-2.9297,-1.9531
0.8906,-1.0625,-0.7656,-30.2734,-64.4531,2.9297
