ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-1.0781,-0.0312,0.1562,2.9297,-17.5781,0
-1.0156,0.0625,0.25,0,-16.6016,-0.9766
-0.8906,0.3594,0.1406,-1.9531,-11.7188,-1.9531
-0.875,0.4062,0.0781,0,-10.7422,-0.9766
-0.875,0.3281,0.1094,0,-11.7188,-1.9531
-0.8438,0.3438,0.1406,4.8828,-14.6484,-0.9766
-0.8906,0.2969,0.1562,6.8359,-12.6953,0
-0.9531,0.2031,0.2031,9.7656,-9.7656,0
-1.0156,0.125,0.2031,11.7188,-6.8359,0
-1,0.1719,0.1094,13.6719,-6.8359,-0.9766
-0.9531,0.2344,0.1406,13.6719,-8.7891,-2.9297
-0.9062,0.2344,0.2031,6.8359,-9.7656,-2.9297
-0.8906,0.2656,0.2031,2.9297,-8.7891,-1.9531
-0.9062,0.2969,0.1875,9.7656,-10.7422,-1.9531
-0.9062,0.3125,0.1719,14.6484,-11.7188,-0.9766
-0.9531,0.3438,0.2031,12.6953,-13.6719,0
-1.0469,0.3438,0.1719,11.7188,-13.6719,0
-1.0781,0.2344,0.125,13.6719,-10.7422,0
-1.0469,0.2344,0.0156,13.6719,-6.8359,0
-1.0625,0.2812,0,12.6953,-2.9297,0
-1.2031,0.2656,0.0469,14.6484,0,0.9766
-1.2969,0.2188,0.125,13.6719,4.8828,0
-1.1719,0.3125,-0.0156,10.7422,7.8125,-2.9297
-1.1406,0.4688,-0.0781,14.6484,14.6484,-3.9062
-1.0312,0.5469,-0.1562,19.5312,28.3203,-1.9531
-0.8906,0.625,-0.0781,30.2734,41.0156,1.9531
-0.875,0.7188,0.4062,29.2969,30.2734,0
-0.8281,0.6562,0.6875,27.3438,17.5781,0
-0.8906,0.4688,0.375,42.9688,9.7656,-1.9531
-1.125,0.2812,-0.1719,41.9922,6.8359,-6.8359
-1.0469,0.125,-0.2969,32.2266,7.8125,-9.7656
-0.9062,0.0938,0.0312,17.5781,4.8828,-11.7188
-0.7656,0.3281,0.25,-5.8594,18.5547,-4.8828
-0.5469,0.5781,0.125,0.9766,18.5547,-1.9531
-0.5469,0.4844,0,7.8125,9.7656,-3.9062
-0.6562,0.2812,-0.0469,7.8125,5.8594,-1.9531
-0.7031,0.2031,-0.0156,3.9062,1.9531,0
-0.625,0.2031,0,0,-0.9766,0
-0.5625,0.25,-0.0312,-3.9062,-5.8594,0.9766
-0.6719,0.2188,-0.0938,-4.8828,-11.7188,1.9531
-1.0156,0.1875,-0.3438,-2.9297,-10.7422,0.9766
-1.5156,0.0938,-0.8594,0,-0.9766,0
-1.5938,0.1562,-1.0781,0,3.9062,-9.7656
-0.9531,0.1719,-0.6562,0,4.8828,-9.7656
-0.6406,0.2969,-0.1719,4.8828,1.9531,-5.8594
-0.7969,0.4531,-0.1406,-1.9531,10.7422,-0.9766
-0.9844,0.5625,0.0312,3.9062,2.9297,1.9531
-0.9531,0.5156,-0.0625,0.9766,-9.7656,1.9531
-0.875,0.5938,-0.0625,-0.9766,-15.625,4.8828
-0.7188,0.4844,0.2344,4.8828,-19.5312,7.8125
-0.7969,0.4219,0.4062,10.7422,-25.3906,9.7656
-0.9219,0.2969,0.3438,9.7656,-21.4844,7.8125
-1.0625,0.0312,0.2656,4.8828,-14.6484,7.8125
-1.1406,-0.0781,0.1562,-1.9531,-14.6484,4.8828
-1.1094,0.0625,0.1094,-10.7422,-14.6484,1.9531
-0.9375,0.3125,0.1406,-14.6484,-13.6719,0.9766
-0.8438,0.5,0.125,-14.6484,-10.7422,0.9766
-0.7969,0.4688,0.0938,-5.8594,-12.6953,0
-0.7969,0.2969,0.125,-1.9531,-13.6719,0.9766
-0.8906,0.3281,0.1406,-1.9531,-16.6016,2.9297
-0.9375,0.2188,0.1562,1.9531,-16.6016,2.9297
-0.9688,0.1094,0.25,3.9062,-13.6719,1.9531
-0.9375,0.0938,0.1406,1.9531,-12.6953,1.9531
-0.8906,0.1562,0.0312,2.9297,-14.6484,0
-0.9375,0.2344,0.1562,0,-14.6484,-0.9766
-0.9844,0.3125,0.1875,-5.8594,-14.6484,0
-1,0.3281,0.0781,-2.9297,-13.6719,0
-1.0312,0.3438,0,4.8828,-10.7422,1.9531
-1.0469,0.2812,0.0938,8.7891,-7.8125,2.9297
-1.0781,0.2031,0.1562,5.8594,-4.8828,2.9297
-1.0625,0.25,0.1562,0,0,3.9062
-1,0.3438,0.0625,-0.9766,0,2.9297
-1.1562,0.375,0.0469,2.9297,0,2.9297
-1.3594,0.2656,0.125,7.8125,5.8594,2.9297
-1.2344,0.2188,-0.0156,7.8125,13.6719,0.9766
-1.0781,0.3125,-0.0469,4.8828,20.5078,0
